Mean_RNA FISH	Mean err_RNA FISH	Noise_RNA FISH	Noise err_RNA FISH	Fano_RNA FISH	Fano err_RNA FISH	Mean_Fixed protein	Mean err_Fixed protein	Noise_Fixed protein	Noise err_Fixed protein	Correlation_RNA and Protein	Correlation err_RNA and Protein	Mean_RNAseq
3.2585	0.17316	0.63422	0.06234	2.0666	0.20231	1114.3	26.089	0.08612	0.00807	-0.00799	0.07127	1.078871201
1.962	0.071	1.2203	0.05883	2.3943	0.08433	890.06	8.2866	0.08862	0.00405	0.06386	0.02869	0.388913234
1.8759	0.19292	0.78892	0.17454	1.4799	0.21757	2368.4	120.73	0.21728	0.08813	-0.20934	0.09017	5.224880383
1.8741	0.12811	1.0222	0.11761	1.9157	0.13942	1810.2	52.343	0.18884	0.02161	0.20313	0.07404	1.004389465
1.7209	0.04889	1.1329	0.04965	1.9496	0.06571	7250.8	64.509	0.10999	0.00492	0.06814	0.02709	0.443412162
1.6372	0.16645	0.6073	0.11378	0.99427	0.14208	118.15	7.133	0.20538	0.09889	0.0324	0.09773	0.147984887
1.0938	0.04869	1.6037	0.09863	1.7542	0.11072	354.79	4.1175	0.11884	0.00816	0.03349	0.04052	0.380200308
1.0321	0.01957	1.2666	0.04533	1.3073	0.0455	1077.8	5.6085	0.08705	0.00251	-0.10667	0.01626	0.36
0.94454	0.02241	1.6988	0.05586	1.6046	0.04285	1402.2	8.3767	0.11657	0.00595	-0.01048	0.01529	2.564864865
0.93535	0.05292	2.4015	0.17455	2.2462	0.12075	412.51	10.283	0.35003	0.13536	-0.00453	0.03113	0.357771261
0.91599	0.04695	1.8148	0.18114	1.6623	0.17769	738.7	17.345	0.23877	0.18693	-0.00325	0.06332	2.805581835
0.89619	0.03804	2.1516	0.13834	1.9283	0.10325	234.33	2.2621	0.12648	0.00564	-0.129	0.03206	0.263709677
0.8248	0.11122	2.1278	0.40857	1.755	0.27061	522.65	34.799	0.48122	0.08228	0.15211	0.07598	0.59439834
0.79412	0.28626	3.4176	1.6771	2.714	0.98965	43.237	4.2647	0.30392	0.11075	-0.2185	0.2002	1.287054409
0.77826	0.02743	2.7804	0.11631	2.1638	0.06287	2584.5	45.23	0.7468	0.05249	-0.02231	0.02249	0.999061209
0.77529	0.02581	3.0013	0.11303	2.3269	0.07027	2787.9	29.932	0.3421	0.01039	0.23434	0.01807	
0.76436	0.09001	2.0668	0.33426	1.5798	0.15792	119.92	4.2633	0.22362	0.03401	0.06069	0.08582	0.108626198
0.72468	0.01652	2.0675	0.07363	1.4982	0.0491	3225	18.591	0.12585	0.00309	0.03763	0.01576	1.813311688
0.71752	0.01423	2.3882	0.07455	1.7136	0.05299	559.69	3.7406	0.23544	0.0233	0.02469	0.01942	0.39659271
0.70273	0.09491	1.6289	0.34424	1.1447	0.13171	263.37	9.9386	0.12519	0.02392	0.22084	0.1296	0.059641256
0.69951	0.014	2.0137	0.07222	1.4086	0.04142	1424.5	5.9778	0.06783	0.00158	0.00729	0.01491	0.672828891
0.6485	0.14301	2.4049	0.9089	1.5596	0.4786	49.027	3.6554	0.1558	0.06117	-0.45186	0.18099	0.157231314
0.64195	0.02703	3.8313	0.19304	2.4595	0.10142	2374.4	18.613	0.10142	0.00502	-0.04619	0.02779	0.494780793
0.60774	0.08443	3.3113	0.87072	2.0124	0.57699	214.36	10.655	0.30045	0.05046	-0.04651	0.12041	0.304858934
